concentration,absorbance,plate,well
0,1.841,plate_1,A1
0,2.98,plate_1,A2
0,2.232,plate_1,A3
0,2.582,plate_1,A4
0,2.128,plate_1,A5
0,1.808,plate_1,A6
0,1.872,plate_1,A7
0,1.557,plate_1,A8
0,2.884,plate_1,B1
0,3.262,plate_1,B2
0,3.264,plate_1,B3
0,3.01,plate_1,B4
0,3.219,plate_1,B5
0,2.332,plate_1,B6
0,2.539,plate_1,B7
0,1.792,plate_1,B8
0,2.097,plate_1,C1
0,2.567,plate_1,C2
0,1.825,plate_1,C3
0,1.826,plate_1,C4
0,1.565,plate_1,C5
0,1.464,plate_1,C6
0,1.512,plate_1,C7
0,1.893,plate_1,C8
10,1.655,plate_1,D1
10,1.59,plate_1,D2
10,2.385,plate_1,D3
10,2.29,plate_1,D4
10,2.6,plate_1,D5
10,2.184,plate_1,D6
10,2.199,plate_1,D7
10,2.298,plate_1,D8
10,1.398,plate_1,E1
10,1.772,plate_1,E2
10,2.177,plate_1,E3
10,2.371,plate_1,E4
10,2.543,plate_1,E5
10,1.928,plate_1,E6
10,2.235,plate_1,E7
10,1.606,plate_1,E8
10,1.52,plate_1,F1
10,1.537,plate_1,F2
10,1.914,plate_1,F3
10,2.153,plate_1,F4
10,1.694,plate_1,F5
10,1.917,plate_1,F6
10,1.926,plate_1,F7
10,1.628,plate_1,F8
20,1.347,plate_1,G1
20,1.463,plate_1,G2
20,1.456,plate_1,G3
20,1.402,plate_1,G4
20,1.934,plate_1,G5
20,1.856,plate_1,G6
20,1.385,plate_1,G7
20,1.787,plate_1,G8
20,1.548,plate_1,H1
20,1.172,plate_1,H2
20,0.91,plate_1,H3
20,0.82,plate_1,H4
20,1.024,plate_1,H5
20,1.245,plate_1,H6
20,1.57,plate_1,H7
20,1.613,plate_1,H8
20,0.627,plate_1,I1
20,0.217,plate_1,I2
20,0.173,plate_1,I3
20,0.156,plate_1,I4
20,0.125,plate_1,I5
20,0.155,plate_1,I6
20,0.137,plate_1,I7
20,0.483,plate_1,I8
40,0.112,plate_1,J1
40,0.133,plate_1,J2
40,0.132,plate_1,J3
40,0.155,plate_1,J4
40,0.143,plate_1,J5
40,0.139,plate_1,J6
40,0.145,plate_1,J7
40,0.099,plate_1,J8
40,0.129,plate_1,K1
40,0.119,plate_1,K2
40,0.15,plate_1,K3
40,0.125,plate_1,K4
40,0.138,plate_1,K5
40,0.138,plate_1,K6
40,0.154,plate_1,K7
40,0.129,plate_1,K8
40,0.105,plate_1,L1
40,0.128,plate_1,L2
40,0.143,plate_1,L3
40,0.162,plate_1,L4
40,0.145,plate_1,L5
40,0.153,plate_1,L6
40,0.148,plate_1,L7
40,0.123,plate_1,L8
0,2.1128900003315,plate_2,A1
0,3.23014969371028,plate_2,A2
0,2.33895181813998,plate_2,A3
0,2.5012275451004,plate_2,A4
0,2.05501307221149,plate_2,A5
0,1.89560221162921,plate_2,A6
0,1.87984752325233,plate_2,A7
0,1.81845347139589,plate_2,A8
0,2.91371405764991,plate_2,B1
0,3.56736829127156,plate_2,B2
0,3.54257754688496,plate_2,B3
0,2.96255156248074,plate_2,B4
0,3.56931604277718,plate_2,B5
